artist,artist_type,artist_country,artist_tags
The Beach Boys,Group,US,"rock, pop, american, usa, psychedelic rock, américain, baroque pop, classic rock, psychedelic pop, pop rock, rock and roll, surf rock, surf, sunshine pop, classic pop and rock, progressive pop, b7005bb9-fcd9-4d06-8c39-c5ef11275ef1, pop/rock, today, vocal surf, knebworth"
The Beatles,Group,GB,"rock, pop, progressive rock, 80s, heavy metal, pop-rock, orchestral, experimental, british, uk, 60s, hard rock, indie rock, folk rock, psychedelic rock, psychedelic, blues rock, britpop, art rock, folk-rock, baroque pop, classic rock, 1960s, psychedelic pop, experimental rock, pop rock, europop, british invasion, rock and roll, rock roll, beat, english, sunshine pop, folk pop, rock music, liverpool, parlophone, united kingdom, hair metal, europe, 1, bbc, film soundtrack, classic pop and rock, singer songwriter, classical pop, instrumental pop, merseybeat, adult alternative pop rock, tribute albums, british psychedelia, orchestral pop, pop-metal, psychedelia, male vocalists, the-beatles, mainstream rock, boys band, abbey road, rock & roll, pop/rock, rhythm & blues, overrated, psychedelic/garage, art pop, one beatles, popular music, a filk artist, british rhythm & blues, beat music, get back, favoritos, the beatles - primal colours, reino unido, rock groups, vyrzukhisuc-artiest"
The Chainsmokers,Group,US,"electronic, electropop, dance-pop, electro house, satire, edm, 2010s, future bass"
The Chemical Brothers,Group,GB,"trip-hop, electronic, big beat, house, british, uk, techno, electronica, breakbeat, tech house, neo-psychedelia, alternative dance, progressive house, english, trip hop, england, manchester, united kingdom, dance and electronica"
The Jackson 5,,,
The Killers,Group,US,"rock, synthpop, pop, alternative rock, american, new wave, usa, indie rock, indie, alternative, américain, post-punk revival, pop rock, heartland rock, rock and indie, united states, christmas music, las vegas, big music"
The Local Train,Group,,rock
The Neighbourhood,Group,US,"alternative rock, indie pop, tumblr"
The Platters,Group,US,"pop, soul, easy listening soundtracks and musicals, pop soul, traditional pop, doo-wop, rhythm & blues, vocal group"
The Prodigy,Group,GB,"rock, electronic, alternative rock, industrial, drum and bass, hardcore, big beat, rave, dance, british, 2005, uk, britannique, techno, electronica, breakbeat, electropunk, alternative dance, english, dance-punk, dance and electronica, breakbeat hardcore, electronic rock, techno beats, hardcore hip hop, hardcore breaks, live electronic"
The Prophet,Person,NL,"electronic, hardstyle, hardcore techno"
The Rolling Stones,Group,GB,"rock, pop, blues, british, uk, reggae, hard rock, britannique, country, rnb, psychedelic rock, blues rock, classic rock, album rock, psychedelic pop, pop rock, british invasion, rock and roll, roots rock, english, live, greatest hits, classic pop and rock, merseybeat, the-rolling-stones, mainstream rock, mick jagger, rock & roll, dance-rock, rhythm & blues, essentials, british rhythm & blues, some girls, beat music, strictly stereo 1964 - 1969, reino unido"
The Strokes,Group,US,"rock, alternative rock, american, new wave, usa, indie rock, synth-pop, américain, garage rock revival, post-punk revival, garage rock, rock music, rock and indie, alternative rock music, garage rock music"
The Supremes,Group,US,"aln-sh, disco, motown, r&b, girl group, pop, psychedelic soul, pop soul, classic pop and rock, soul"
The Wiggles,Group,AU,"pop, pop rock, sunshine pop, christmas music, children's music"
Theo Parrish,Person,,"deep house, house, electronic"
Tim Maia,Person,BR,"singer-songwriter, mpb, funk, soul, disco, bossa nova, singers, r&b, baião, samba rock, samba soul, samba funk"
Timothy Infinite,Person,,"downtempo, instrumental, hip hop, lo-fi, boom bap, chillwave, instrumental hip hop, lo-fi hip hop"
Tiësto,Person,NL,"trance, electronic, dance, house, dutch, remixes, dance-pop, progressive trance, progressive house, english, electro house, vinyl, edm, dance and electronica, uplifting trance, tech trance, dutch trance, tiësto traffic, big room house, dutch house, big room trance"
Tom Petty and the Heartbreakers,Group,US,"heartland rock, classic rock, rock and indie, folk rock, pop/rock, power pop, rock, pop rock, southern rock, 2008 universal fire victim"
Topic,Person,DE,"dance, edm"
Tove Lo,Person,SE,"pop, electronic, contemporary r&b, alternative pop, indie pop, dance-pop, top 40, female vocals, electropop"
Traditional,Other,XW,"special purpose artist, folk, bogus artist, world, traditional, merge me, fixme-trad, has german audiobooks, spamess, special purpose, sharik khan jr, sharik khan jr achalpur"
Trazendo a Arca,Group,BR,trazendo a arca
Tritonal,Group,US,"electronic, progressive house, trance, electro house"
Turma do Pagode,Group,BR,
Ty Dolla $ign,Person,US,"rap, hip hop, pop rap, english, sxsw, top 100, r&b, contemporary r&b, lecrae, blessings, austin city limits"
Vadim Kozin,,,
Vybz Kartel,Person,JM,"reggae, english, dancehall, hip hop rnb and dance hall"
Weezer,Group,US,"rock, pop, alternative rock, american, usa, power pop, emo, alternative, américain, post-grunge, weezer, pop rock, pop punk, garage rock, geek rock, alternative pop, punk pop, chamber pop, rock opera, nerd rock, rock and indie, emo pop, mainstream rock, self-titled, irvine, 2008 universal fire victim, fort apache sound"
When Chai Met Toast,Group,IN,"hindie, indie india, indian folk"
Wisin & Yandel,Group,PR,"reggaetón, reggaeton, latin urban, latin"
Wiz Khalifa,Person,US,"rap, hip hop, pop rap, hip hop rnb and dance hall, east coast hip hop"
Wolfgang Amadeus Mozart,Person,AT,"classical, german, opera, austrian, composer, european, series-mozart-complete works-philips, symphony, composers, 1991, complete mozart edition, concerto, requiem, composition, complete, classical period, sonata, late symphonies, volume 15, gould, austrian composer, karl ristenpart, rothenberger, ascanio in alba, complete violin wind"
XXXTENTACION,Person,US,"rap, hip hop, southern hip hop, x, death by murder, rage, 2010s, trap, xxxtentacion, jahseh onfroy, trap metal, emo rap, gen z"
YUNGBLUD,Person,GB,"alternative rock, hip hop, indie rock, pop rock, pop punk, rap rock, queer, 2020s, gen z"
Yiruma,Person,KR,"soundtrack, pianist, contemporary classical, classical crossover, modern classical"
Yuvan Shankar Raja,Person,IN,"filmi, film composer"
Zaeden,Person,IN,
Zeca Pagodinho,Person,BR,"samba, pagode"
Zedd,Person,DE,"electronic, pop, dubstep, dance, house, deep house, electropop, dance-pop, progressive house, club, electro house, edm, house music, complextro, future bass, bass house, festival progressive house"
blink-182,Group,US,"rock, alternative rock, punk, american, punk rock, usa, alternative, fun-punk, américain, pop rock, pop punk, skate punk, california, travis barker, pop and chart, united states, emo pop, classic pop punk, california punk, 2008 universal fire victim, _add named after"
my little airport,Group,HK,"indie pop, indie, pop, cantonese, chinese"
salem ilese,Person,US,
